Roger Torres;107;[650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 0.0, 0.0, 0.0, 0.0]
Bob Smith;101;[650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 0.0, 0.0, 0.0, 0.0]
Karen Page;109;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Mia Bustamante;108;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Dave Sanchez;104;[650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 0.0, 0.0, 0.0, 0.0]
Mike Roberts;102;[650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 0.0, 0.0, 0.0, 0.0]
Joe Beckham;106;[650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 0.0, 0.0, 0.0, 0.0]
Amy Johnson;103;[650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 0.0, 0.0, 0.0, 0.0]
Julia Howard;105;[650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 650.0, 0.0, 0.0, 0.0, 0.0]
Ana Jones;110;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
